Account,Text,Date,Compound,Positive,Neutral,Negative
@BBC,"Hugh Fearnley-Whittingstall is on a mission, asking food producers, restaurants and the government to confront Brit… https://t.co/EcfjGY9Hqo",04/25/18,-0.178,0.0,0.898,0.102
@BBC,☀️🛶 How an isolated indigenous community in Ecuador is protecting the Amazon jungle with its first solar powered ca… https://t.co/yHNXh2C0ZO,04/25/18,-0.153,0.077,0.818,0.105
@BBC,"🌱🍓 A man has told of how he 'got his mum back' after a diagnosis of Alzheimer's, in part, by getting her to follow… https://t.co/Bj8a8iAK61",04/25/18,0.0,0.0,1.0,0.0
@BBC,❤️🐿 The dating scene is tough when you're a red squirrel... https://t.co/BUTI5sOp3R,04/25/18,-0.128,0.0,0.87,0.13
@BBC,"🐧 🤣 When penguins... HONK!... interrupt... HONK!... your TV interview... HONK!   
#WorldPenguinDay https://t.co/mFUZec36Ne",04/25/18,0.0,0.0,1.0,0.0
@BBC,"RT @BBCOne: .@HughFW is waging a war on waistlines. Tonight, 9pm, BBC One 🍔
#BritainsFatFight https://t.co/zYC7BECRw9",04/25/18,-0.599,0.0,0.769,0.231
@BBC,"RT @bbcmusic: OH HI @NiallOfficial 😍 

#SoundsLikeFridayNight https://t.co/Iw2xK5wMj7",04/25/18,0.0,0.0,1.0,0.0
@BBC,"RT @BBC6Music: ""I essentially went to Hogwarts!""
- @SimonPegg reveals how to have the #BiggestWeekend in his hometown of Gloucester.

🎥 Lis…",04/25/18,0.0,0.0,1.0,0.0
@BBC,🤠 Never turn your back on a man in a cowboy hat. https://t.co/CBkcugUzBO,04/25/18,0.0,0.0,1.0,0.0
@BBC,RT @BBCBreakfast: Just look at these gorgeous rescued bear cubs 😍 https://t.co/2wvTLiA01U,04/25/18,0.778,0.43,0.57,0.0
@BBC,RT @BBCTwo: This penguin swims thousands of miles every year to visit his best friend... 🐧💙 #WorldPenguinDay https://t.co/JlrMZ5exRE,04/25/18,0.637,0.198,0.802,0.0
@BBC,Mums have responded to pictures of the Duchess of Cambridge leaving hospital following the birth of her third child… https://t.co/KQKq2MfdM8,04/25/18,0.0,0.0,1.0,0.0
@BBC,🔥🌶 Some people just can't handle the heat. https://t.co/bcWeeTB8F1,04/25/18,0.0,0.0,1.0,0.0
@BBC,RT @TWBBC: We made a chatbot. Our chatbot predicts how influential your Instagram pictures will be before you post them. Our chatbot uses m…,04/25/18,0.44,0.116,0.884,0.0
@BBC,💌 This woman will write you a letter when you're going through hard times. https://t.co/6WejY9BcoI,04/25/18,-0.103,0.0,0.896,0.104
@BBC,"📚 From ancient epics to modern novels, some narratives have changed history and influenced the mindsets of generati… https://t.co/QDcGy8jwXe",04/25/18,0.0,0.0,1.0,0.0
@BBC,"These children on Sal Island in Cape Verde are working hard to clean up their beaches. 
#OurBluePlanet https://t.co/IziZtoSeEp",04/25/18,0.318,0.134,0.796,0.07
@BBC,"A leading divorce lawyer leaves the family firm for a rival, throwing her relationships into turmoil in the process… https://t.co/AHGrKnYPhA",04/24/18,-0.361,0.0,0.872,0.128
@BBC,"🐜🤖 By turning ant brains into algorithms, scientists have created robots that navigate without GPS. https://t.co/8qGDjewneC",04/24/18,0.25,0.118,0.882,0.0
@BBC,😲 Australian police say they will review how a 12-year-old boy travelled alone to Bali after he had a row with his… https://t.co/gskGhMaKgN,04/24/18,-0.25,0.0,0.905,0.095
@BBC,RT @bbcwritersroom: Want to get yr first @BBC writing credit? We're running a #Comedy monologue opportunity alongside @bbcmusic @bbcintrodu…,04/24/18,0.691,0.309,0.691,0.0
@BBC,"Queen Victoria was sort of the Darth Vader of the British Empire. 
#CunkOnBritain https://t.co/F4BGHWQtiz",04/24/18,0.0,0.0,1.0,0.0
